coverage	n
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	0
809	0
810	0
811	1
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	0
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	0
832	0
833	0
834	0
835	0
836	0
837	0
838	0
839	0
840	0
841	0
842	0
843	0
844	0
845	0
846	0
847	3
848	2
849	1
850	0
851	0
852	1
853	0
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	0
862	0
863	0
864	1
865	2
866	3
867	0
868	0
869	0
870	4
871	8
872	6
873	12
874	7
875	10
876	14
877	1
878	17
879	2
880	6
881	2
882	14
883	3
884	3
885	0
886	0
887	0
888	0
889	0
890	0
891	0
892	0
893	0
894	0
895	0
896	0
897	0
898	0
899	0
900	0
901	0
902	0
903	0
904	0
905	0
906	0
907	0
908	0
909	0
910	0
911	0
912	0
913	0
914	0
915	0
916	0
917	0
918	0
919	1
920	0
921	0
922	0
923	0
924	0
925	0
926	0
927	0
928	0
929	0
930	1
931	0
932	0
933	0
934	0
935	0
936	0
937	0
938	0
939	0
940	0
941	0
942	0
943	0
944	0
945	0
946	0
947	0
948	0
949	0
950	0
951	0
952	0
953	0
954	1
955	0
956	0
957	1
958	0
959	0
960	0
961	0
962	0
963	0
964	0
965	0
966	0
967	0
968	1
969	0
970	0
971	0
972	0
973	0
974	0
975	1
976	0
977	0
978	0
979	0
980	0
981	0
982	0
983	0
984	0
985	0
986	0
987	0
988	0
989	0
990	1
991	0
992	1
993	0
994	1
995	0
996	1
997	0
998	0
999	2
1000	0
1001	0
1002	0
1003	5
1004	1
1005	7
1006	2
1007	3
1008	4
1009	0
1010	1
1011	1
1012	0
1013	0
1014	0
1015	0
1016	0
1017	0
1018	0
1019	1
1020	1
1021	1
1022	0
1023	3
1024	0
1025	1
1026	1
1027	3
1028	3
1029	0
1030	1
1031	2
1032	2
1033	1
1034	0
1035	1
1036	0
1037	0
1038	0
1039	0
1040	0
1041	0
1042	1
1043	1
1044	0
1045	1
1046	0
1047	0
1048	1
1049	0
1050	2
1051	1
1052	2
1053	0
1054	10
1055	14
1056	18
1057	0
1058	0
1059	0
1060	0
1061	0
1062	0
1063	0
1064	0
1065	0
1066	0
1067	0
1068	0
1069	0
1070	0
1071	0
1072	0
1073	0
1074	0
1075	0
1076	0
