Assembly	SC2241.consensus
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29903
Total length (>= 1000 bp)	29903
Total length (>= 5000 bp)	29903
Total length (>= 10000 bp)	29903
Total length (>= 25000 bp)	29903
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	29903
Total length	29903
Reference length	29903
GC (%)	37.96
Reference GC (%)	37.97
N50	29903
NG50	29903
N75	29903
NG75	29903
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.833
Duplication ratio	1.002
# N's per 100 kbp	167.21
# mismatches per 100 kbp	77.04
# indels per 100 kbp	0.00
# genomic features	21 + 3 part
Largest alignment	29853
Total aligned length	29853
NA50	29853
NGA50	29853
NA75	29853
NGA75	29853
LA50	1
LGA50	1
LA75	1
LGA75	1
