ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.999999	1	1	29903
0.762698	1	0.969308	28985.2
0.999992	1	1	29903
0.964319	1	0.999356	29883.7
0.989829	1	0.999948	29901.4
0.443107	1	0.803771	24035.2
0.984371	1	0.999877	29899.3
0.0877168	1	0.301188	9006.43
0.88753	1	0.993424	29706.4
0.398614	1	0.765244	22883.1
0.806487	1	0.979936	29303
0.0473498	1	0.191776	5734.68
0.334873	1	0.701226	20968.7
0.774242	1	0.972348	29076.1
0.590112	1	0.901362	26953.4
0.99999	1	1	29903
0.999877	1	1	29903
1	1.23654e-05	0.000152102	4.54832
0.910059	4.80635e-23	2.29567e-21	6.86475e-17
0.99669	8.86016e-05	0.000912638	27.2906
0.998218	8.79599e-05	0.000907921	27.1496
0.977322	0.000479173	0.00405852	121.362
0.796759	7.47948e-19	2.56038e-17	7.65631e-13
0.680362	2.17662e-17	5.88672e-16	1.76031e-11
0.762988	2.16239e-17	6.54065e-16	1.95585e-11
0.916613	1.23656e-28	7.40672e-27	2.21483e-22
0.43699	7.57229e-07	5.26843e-06	0.157542
0.915377	1.28761e-06	1.72685e-05	0.51638
0.675433	1.64773e-08	2.14948e-07	0.00642759
0.521526	1.66748e-08	1.70103e-07	0.00508659
0.551977	1.64675e-08	1.77396e-07	0.00530466
7.46505e-05	1.64679e-08	3.49434e-11	1.04491e-06
0.0291396	1.66748e-08	1.09059e-08	0.00032612
0.125404	0.0140425	0.012929	386.615
0.160783	0.0330667	0.0331591	991.555
0.00262912	0.0140524	0.000414013	12.3802
0.07106	3.02708e-08	4.50801e-08	0.00134803
1	4.7135e-30	3.23003e-28	9.65876e-24
0.930032	1	0.997493	29828
1	1	1	29903
0.934546	1	0.99781	29837.5
0.911402	1	0.995954	29782
0.531269	1	0.86729	25934.6
0.480797	0.920369	0.803285	24020.6
0.999992	0.475252	0.828794	24783.4
0.999973	0.00026408	0.00243985	72.9587
0.888442	0.0195509	0.0877701	2624.59
0.749053	0.0148866	0.0612878	1832.69
0.900983	0.0664774	0.228509	6833.11
0.898932	0.0211663	0.0944102	2823.15
0.89219	1	0.993968	29722.6
0.0723115	1	0.262257	7842.28
0.88001	0.0286572	0.118028	3529.38
0.79036	0.0275018	0.10496	3138.61
0.843744	0.0271579	0.109439	3272.54
0.967328	0.0265264	0.119647	3577.81
0.964409	0.0264866	0.119223	3565.12
0.992141	1	0.999969	29902.1
1	0.0565966	0.219131	6552.68
1	0.00969941	0.0546629	1634.58
0.999997	0.0480745	0.19398	5800.59
0.95111	0.496891	0.826815	24724.3
0.614477	7.59708e-09	9.42165e-08	0.00281736
0.843756	1.40833e-10	2.83446e-09	8.47588e-05
0.973661	1.40623e-10	3.24658e-09	9.70826e-05
0.995873	1.40273e-10	3.30958e-09	9.89664e-05
0.99177	1.40764e-10	3.30756e-09	9.89061e-05
0.855863	1.39749e-10	2.85221e-09	8.52898e-05
0.991387	1.41503e-10	3.32297e-09	9.93668e-05
0.982691	1.43208e-10	3.33306e-09	9.96685e-05
0.999984	1.43065e-10	3.38598e-09	0.000101251
0.997334	1.39609e-10	3.29918e-09	9.86555e-05
0.999931	2.87054e-14	9.23727e-13	2.76222e-08
0.999972	2.85286e-14	9.18249e-13	2.74584e-08
0.999964	3.90894e-17	1.51586e-15	4.53288e-11
0.917202	1	0.996474	29797.5
0.999999	1	1	29903
0.959138	1	0.999154	29877.7
