ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.998703	1	0.999999	29903
0.545249	1	0.875949	26193.5
0.795092	0.594212	0.826706	24721
0.498704	1	0.845673	25288.2
0.244785	1	0.58929	17621.5
0.406278	1	0.772219	23091.7
0.685309	1	0.944277	28236.7
0.49809	1	0.845246	25275.4
0.733618	1	0.960869	28732.9
0.920595	0.199248	0.494508	14787.3
0.996098	1	0.999992	29902.8
0.633069	1	0.922493	27585.3
0.650633	1	0.930281	27818.2
0.839185	1	0.986314	29493.8
0.566701	6.7974e-22	1.93792e-20	5.79497e-16
0.573428	0.620253	0.723345	21630.2
0.997304	1	0.999996	29902.9
0.3155	1	0.67946	20317.9
0.421782	1	0.785893	23500.5
0.243744	1	0.587821	17577.6
0.446164	1	0.806249	24109.3
0.236549	1	0.577557	17270.7
0.99278	1	0.999974	29902.2
1	1	1	29903
0.213657	1	0.543411	16249.6
0.757465	1	0.967872	28942.3
0.878421	0.0357143	0.139977	4185.74
1	1	1	29903
0.960611	1	0.999214	29879.5
0.916308	1	0.996396	29795.2
0.524543	1	0.862993	25806.1
0.423649	1	0.7875	23548.6
0.96923	0.0133566	0.0692202	2069.89
0.920044	0.0909091	0.291171	8706.9
1	2.01037e-05	0.000237518	7.10249
