ID or #		Start	End	Type	Contig
==================================================
MN908947.3:1..29903		1	29903	partial	SC2197:326-10857,SC2197:10999-15861,SC2197:16145-17738,SC2197:17994-20228,SC2197:20405-21424,SC2197:21680-22874,SC2197:23142-29662
gene-orf1ab		266	21555	partial	SC2197:326-10857,SC2197:10999-15861,SC2197:16145-17738,SC2197:17994-20228,SC2197:20405-21424
cds-QHD43415.1		266	13468	partial	SC2197:326-10857,SC2197:10999-13468
cds-QHD43415.1		13468	21555	partial	SC2197:13468-15861,SC2197:16145-17738,SC2197:17994-20228,SC2197:20405-21424
gene-S		21563	25384	partial	SC2197:21680-22874,SC2197:23142-25381
cds-QHD43416.1		21563	25384	partial	SC2197:21680-22874,SC2197:23142-25381
gene-ORF3a		25393	26220	complete	SC2197:25390-26217
cds-QHD43417.1		25393	26220	complete	SC2197:25390-26217
gene-E		26245	26472	complete	SC2197:26242-26469
cds-QHD43418.1		26245	26472	complete	SC2197:26242-26469
gene-M		26523	27191	complete	SC2197:26520-27188
cds-QHD43419.1		26523	27191	complete	SC2197:26520-27188
gene-ORF6		27202	27387	complete	SC2197:27199-27384
cds-QHD43420.1		27202	27387	complete	SC2197:27199-27384
gene-ORF7a		27394	27759	complete	SC2197:27391-27756
cds-QHD43421.1		27394	27759	complete	SC2197:27391-27756
gene-ORF8		27894	28259	complete	SC2197:27891-28256
cds-QHD43422.1		27894	28259	complete	SC2197:27891-28256
gene-N		28274	29533	complete	SC2197:28271-29530
cds-QHD43423.2		28274	29533	complete	SC2197:28271-29530
gene-ORF10		29558	29674	partial	SC2197:29555-29662
cds-QHI42199.1		29558	29674	partial	SC2197:29555-29662
