Assembly	SC2254.consensus
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29901
Total length (>= 1000 bp)	29901
Total length (>= 5000 bp)	29901
Total length (>= 10000 bp)	29901
Total length (>= 25000 bp)	29901
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	29901
Total length	29901
Reference length	29903
GC (%)	38.14
Reference GC (%)	37.97
N50	29901
NG50	29901
N75	29901
NG75	29901
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	19
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	68.057
Duplication ratio	1.469
# N's per 100 kbp	31487.24
# mismatches per 100 kbp	49.14
# indels per 100 kbp	14.74
# genomic features	12 + 8 part
Largest alignment	20350
Total aligned length	20350
NA50	20350
NGA50	20350
LA50	1
LGA50	1
