ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.965695	1	0.999405	29885.2
0.997506	1	0.999997	29902.9
1	1	1	29903
0.831857	0.182322	0.437719	13089.1
0.911389	9.76006e-10	1.94274e-08	0.000580938
0.87221	1	0.991463	29647.7
3.06427e-31	0.417123	9.22009e-30	2.75708e-25
1	0.213529	0.543214	16243.7
0.613945	0.3308	0.526842	15754.2
1	3.85656e-16	1.40732e-14	4.20831e-10
0.871123	2.4671e-06	3.01964e-05	0.902964
1	4.06602e-58	5.4138e-56	1.61889e-51
0.999825	0.631877	0.921896	27567.5
0.999999	0.390304	0.757513	22651.9
1	1	1	29903
1	0.179328	0.48751	14578
0.776145	0.000131827	0.00104235	31.1693
1	0.483134	0.834595	24956.9
0.999997	8.12146e-06	0.000103313	3.08936
0.827299	0.695954	0.893618	26721.8
0.00517422	0.676611	0.0232978	696.673
0.99998	0.114113	0.361799	10818.9
0.940314	1	0.998182	29848.6
0.43234	0.0615105	0.12305	3679.57
0.953657	0.00741201	0.0420726	1258.1
0.958383	0.130439	0.384953	11511.2
0.00242121	4.58868e-103	2.69606e-103	8.06202e-99
0.629472	0.739449	0.821413	24562.7
0.772509	1	0.971902	29062.8
0.907366	1	0.995571	29770.5
0.979786	4.28494e-16	1.52847e-14	4.57058e-10
0.916105	1	0.996378	29794.7
0.608177	0.332522	0.525468	15713.1
0.699108	0.328079	0.567088	16957.6
0.734476	0.330453	0.586359	17533.9
0.0995394	0.00111272	0.00111957	33.4785
0.946394	0.177866	0.468268	14002.6
0.929138	0.349497	0.689975	20632.3
0.99449	0.327173	0.690693	20653.8
1	0.349316	0.71672	21432.1
0.980571	0.047539	0.18953	5667.52
0.614228	1	0.913596	27319.3
0.716053	0.414861	0.657641	19665.4
0.999995	1	1	29903
0.828416	1	0.984357	29435.2
0.262964	0.916923	0.5841	17466.3
0.862772	0.00368312	0.0214545	641.554
1	1	1	29903
0.999998	0.0228673	0.109261	3267.23
0.374757	1	0.742572	22205.1
0.337055	1	0.703605	21039.9
0.404331	1	0.770461	23039.1
0.412169	1	0.777483	23249.1
0.301501	1	0.662996	19825.6
0.252491	1	0.600014	17942.2
0.230002	1	0.568028	16985.7
0.538894	1	0.872058	26077.1
0.365139	1	0.733008	21919.2
0.282377	1	0.639446	19121.3
0.443082	1	0.803751	24034.6
0.284576	1	0.642218	19204.3
0.406017	1	0.771985	23084.7
0.123228	1	0.381233	11400
0.78231	1	0.97437	29136.6
0.837264	1	0.985975	29483.6
0.940036	1	0.998165	29848.1
0.234442	0.626941	0.428811	12822.7
0.175147	1	0.480276	14361.7
0.922923	1	0.99695	29811.8
8.11261e-09	0.196102	3.38208e-08	0.00101134
0.0417336	0.000209194	0.000110428	3.30214
0.00552141	0.0351928	0.00185493	55.4679
0.557771	1	0.883401	26416.4
1	0.0435098	0.179903	5379.64
0.867471	1	0.990802	29628
0.976048	0.06656	0.242575	7253.73
0.492343	1	0.841207	25154.6
0.830746	0.0890848	0.266691	7974.85
0.738489	1.29151e-125	2.75514e-123	8.2387e-119
0.879719	3.79436e-127	9.75431e-125	2.91683e-120
0.16154	1.43928e-127	6.85617e-126	2.0502e-121
0.994079	1	0.999982	29902.5
0.98717	1	0.999917	29900.5
0.713089	1	0.954219	28534
0.708063	1	0.952502	28482.7
0.392969	5.01774e-05	0.000233344	6.97769
0.99999	0.0162796	0.0833158	2491.39
0.987052	1	0.999916	29900.5
0.947356	1	0.998589	29860.8
0.455723	1	0.813862	24336.9
0.943873	8.15673e-05	0.000806218	24.1083
0.368505	0.757029	0.635115	18991.9
0.97945	1	0.999787	29896.6
0.996182	1	0.999993	29902.8
0.996683	1	0.999994	29902.8
0.985887	1	0.9999	29900
0.686385	1	0.944683	28248.9
0.999967	1	1	29903
0.903915	1	0.995228	29760.3
0.533273	1	0.868553	25972.3
0.533273	1	0.868553	25972.3
0.771492	1	0.971639	29054.9
0.998193	1	0.999998	29903
0.651096	0.310287	0.525139	15703.2
0.173181	3.97508e-18	2.94776e-17	8.81469e-13
0.494117	2.40775e-09	2.56377e-08	0.000766643
0.836689	2.14433e-08	3.37946e-07	0.0101056
0.109811	1.76116e-07	3.62828e-07	0.0108497
0.789202	4.64883e-09	7.49306e-08	0.00224065
0.820216	0.609947	0.846773	25321.1
0.884147	0.24621	0.549592	16434.5
0.996784	0.614939	0.912977	27300.8
0.344432	0.24635	0.294166	8796.45
0.387096	0.244465	0.31775	9501.69
0.300862	1	0.662228	19802.6
0.76057	1	0.968728	28967.9
0.300486	1	0.661777	19789.1
0.174551	0.810844	0.418263	12507.3
0.0545607	1	0.213247	6376.74
0.486122	3.59747e-05	0.000209052	6.25129
0.989985	5.19051e-05	0.000558875	16.712
0.92565	1	0.997165	29818.2
0.941082	1	0.998229	29850
0.83133	2.58981e-11	5.50337e-10	1.64567e-05
0.999546	1	1	29903
0.0790869	0.760209	0.229149	6852.25
1	0.651295	0.930565	27826.7
1	0.240019	0.582535	17419.6
0.340288	0.148215	0.20109	6013.2
0.994875	0.0234902	0.111154	3323.84
0.959144	0.0232218	0.107008	3199.87
0.846729	0.00604442	0.0321153	960.344
0.944867	0.0325853	0.137952	4125.19
1	0.126436	0.387908	11599.6
0.357642	1	0.725378	21691
1	1.18107e-24	6.62527e-23	1.98115e-18
0.961728	1	0.999258	29880.8
0.999989	1	1	29903
0.999962	1	1	29903
0.999995	1	1	29903
0.991568	1	0.999964	29901.9
0.795502	1	0.977498	29230.1
0.187344	1	0.501109	14984.7
0.997997	1	0.999998	29902.9
0.902257	1	0.995059	29755.3
1	1	1	29903
0.999998	1	1	29903
0.934912	1	0.997834	29838.2
0.99342	1	0.999978	29902.4
0.00196213	1	0.0141935	424.429
0.999999	0.810048	0.980694	29325.7
0.993409	0.697259	0.947017	28318.6
0.0747823	7.36083e-30	3.89035e-29	1.16333e-24
0.997111	0.0143218	0.074956	2241.41
1	0.583256	0.897706	26844.1
0.579749	1	0.895805	26787.3
0.973541	0.636269	0.916111	27394.5
0.309195	1	0.672123	20098.5
0.2728	1	0.627171	18754.3
0.123813	1	0.382457	11436.6
0.0686606	0.550231	0.161544	4830.64
0.305579	1	0.667857	19970.9
0.425516	1	0.789099	23596.4
0.540891	1	0.873289	26114
0.15246	1	0.439215	13133.8
0.995475	1	0.99999	29902.7
0.217759	1	0.549703	16437.8
0.891642	7.66039e-05	0.000723437	21.6329
0.481238	1	0.833212	24915.6
0.983184	1	0.999858	29898.7
0.455667	1	0.813818	24335.6
0.854796	1	0.988907	29571.3
2.6017e-17	0.403343	4.20755e-16	1.25818e-11
0.000875727	0.52496	0.00399263	119.392
0.994605	1	0.999985	29902.6
0.969363	1	0.999526	29888.8
0.67579	1	0.940614	28127.2
0.905266	1	0.995364	29764.4
0.377911	1	0.745655	22297.3
0.999663	1	1	29903
0.999859	1	1	29903
1	1	1	29903
0.473487	1	0.827481	24744.2
0.910074	1	0.99583	29778.3
0.509707	1	0.853208	25513.5
0.98969	1	0.999947	29901.4
0.353669	1	0.72127	21568.1
1	1	1	29903
0.53177	1	0.867606	25944
0.768301	1	0.970805	29030
0.957983	1	0.999105	29876.2
0.838002	1	0.986106	29487.5
0.991618	1	0.999965	29901.9
0.617391	1	0.91513	27365.1
0.896863	1	0.994489	29738.2
0.985476	1	0.999894	29899.8
0.963423	1	0.999323	29882.7
0.837072	0.00321259	0.0186051	556.347
0.897306	1	0.994537	29739.6
0.692378	1	0.946912	28315.5
0.999165	0.579252	0.89527	26771.2
0.999955	1.88835e-16	7.02544e-15	2.10082e-10
0.574397	0.143231	0.287764	8605.01
0.910712	0.142581	0.394923	11809.4
