ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.295777	1	0.656077	19618.7
0.690626	1	0.946266	28296.2
0.999998	0.742905	0.963686	28817.1
0.786608	0.817594	0.927011	27720.4
0.991061	0.462945	0.816275	24409.1
0.991625	0.499389	0.843228	25215
0.973344	0.499389	0.836727	25020.7
0.122551	0.462945	0.219527	6564.51
0.52645	0.504827	0.617943	18478.4
0.671651	0.504842	0.705799	21105.5
0.800905	0.808727	0.92902	27780.5
0.990275	1	0.999953	29901.6
0.94775	1	0.998611	29861.5
0.325908	1	0.691297	20671.8
0.921892	1	0.996867	29809.3
0.879061	1	0.992373	29674.9
0.935198	1	0.997853	29838.8
0.997517	1	0.999997	29902.9
0.0780903	1	0.277212	8289.47
0.772835	1	0.971987	29065.3
0.913983	1	0.99619	29789.1
0.631792	1	0.921908	27567.8
0.359134	1	0.726908	21736.7
0.839565	1	0.986381	29495.7
0.629231	1	0.920726	27532.5
0.13639	1	0.408112	12203.8
0.605021	1	0.909039	27183
0.413107	1	0.778314	23273.9
0.700084	1	0.949703	28399
0.68471	1	0.944051	28229.9
0.487257	2.73902e-05	0.000163146	4.87856
0.997546	0.176745	0.482301	14422.2
0.51584	0.0390462	0.0987939	2954.23
1	0.12656	0.388164	11607.3
1	0.12661	0.388269	11610.4
1	0.126697	0.388448	11615.8
0.719878	0.126719	0.30965	9259.46
0.966951	0.126747	0.379828	11358
0.931345	0.126857	0.370489	11078.7
0.951401	0.20113	0.507786	15184.3
0.624998	0.12674	0.280065	8374.79
0.220655	1.22376e-07	4.97592e-07	0.0148795
0.507636	1.48297e-06	1.1367e-05	0.339907
1	1.02491e-56	1.33156e-54	3.98178e-50
0.398592	2.16732e-10	2.08818e-09	6.24428e-05
0.622803	1	0.917716	27442.5
0.845531	1	0.987403	29526.3
0.110589	0.944112	0.340314	10176.4
1	3.22504e-05	0.000365783	10.938
0.842862	0.259964	0.551765	16499.4
0.489928	1	0.83949	25103.3
0.471773	0.477702	0.561169	16780.7
0.999942	1.91053e-46	2.03023e-44	6.071e-40
0.999994	7.80387e-22	3.87087e-20	1.15751e-15
0.342677	1	0.709672	21221.3
0.890313	1	0.993752	29716.2
0.762694	1	0.969307	28985.2
0.306352	1	0.668773	19998.3
0.678499	0.706785	0.831977	24878.6
0.267916	0.142656	0.162985	4873.73
