ID or #		Start	End	Type	Contig
==================================================
MN908947.3:1..29903		1	29903	partial	SC2286:30-22902,SC2286:23121-29835
id-MN908947.3:1..265		1	265	partial	SC2286:30-265
gene-orf1ab		266	21555	complete	SC2286:266-21555
cds-QHD43415.1		266	13468	complete	SC2286:266-13468
cds-QHD43415.1		13468	21555	complete	SC2286:13468-21555
gene-S		21563	25384	partial	SC2286:21563-22902,SC2286:23121-25383
cds-QHD43416.1		21563	25384	partial	SC2286:21563-22902,SC2286:23121-25383
gene-ORF3a		25393	26220	complete	SC2286:25392-26219
cds-QHD43417.1		25393	26220	complete	SC2286:25392-26219
gene-E		26245	26472	complete	SC2286:26244-26471
cds-QHD43418.1		26245	26472	complete	SC2286:26244-26471
gene-M		26523	27191	complete	SC2286:26522-27190
cds-QHD43419.1		26523	27191	complete	SC2286:26522-27190
gene-ORF6		27202	27387	complete	SC2286:27201-27386
cds-QHD43420.1		27202	27387	complete	SC2286:27201-27386
gene-ORF7a		27394	27759	complete	SC2286:27393-27758
cds-QHD43421.1		27394	27759	complete	SC2286:27393-27758
gene-ORF8		27894	28259	complete	SC2286:27893-28258
cds-QHD43422.1		27894	28259	complete	SC2286:27893-28258
gene-N		28274	29533	complete	SC2286:28273-29532
cds-QHD43423.2		28274	29533	complete	SC2286:28273-29532
gene-ORF10		29558	29674	complete	SC2286:29557-29673
cds-QHI42199.1		29558	29674	complete	SC2286:29557-29673
id-MN908947.3:29675..29903		29675	29903	partial	SC2286:29674-29835
