unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
0	0	0	0	0	0	nan	1
2	0	0	0	0	0	nan	2
3	1	0	0	0	0	nan	3
3	1	0	0	0	0	-1.51887	4
10	1	0	0	0	0	-2.11873	5
17	1	0	0	0	0	-2.11873	6
51	1	0	0	0	0	24.8873	7
56	2	0	0	0	0	24.6389	8
57	2	0	0	0	0	141.666	9
64	2	0	0	0	0	136.229	10
74	2	0	0	0	0	132.852	11
83	4	0	0	0	0	137.048	12
106	4	0	0	0	0	141.078	13
107	4	0	0	0	0	145.66	14
108	4	0	0	0	0	174.606	15
109	5	0	0	0	0	182.081	16
117	5	0	0	0	0	178.273	17
123	5	0	0	0	0	193.035	18
123	5	0	0	0	0	272.225	19
123	5	0	0	0	0	302.408	20
124	5	0	0	0	0	317.661	21
129	6	0	0	0	0	309.084	22
131	7	0	0	0	0	334.937	23
131	7	0	0	0	0	349.688	24
136	7	0	0	0	0	327.99	25
137	8	0	0	0	0	349.106	26
144	9	0	0	0	0	353.159	27
146	11	0	0	0	0	369.728	28
153	12	0	0	0	0	374.886	29
155	14	0	0	0	0	388.809	30
2208	3205	0	0	0	0	388.215	31
2282	3334	0	0	0	0	410.044	32
2368	3529	0	0	0	0	427.463	33
2422	3658	0	0	0	0	400.561	34
2483	3783	0	0	0	0	404.497	35
2533	3874	0	0	0	0	423.574	36
2634	4004	0	0	0	0	456.278	37
2666	4047	0	0	0	0	446.437	38
2721	4120	0	0	0	0	16089.2	39
2766	4183	0	0	0	0	18549.7	40
2773	4195	0	0	0	0	20748.7	41
2777	4209	0	0	0	0	20986.1	42
2778	4213	0	0	0	0	21301.3	43
2779	4215	0	0	0	0	23120.8	44
2781	4218	0	0	0	0	23533.1	45
2787	4229	0	0	0	0	21166.6	46
2787	4230	0	0	0	0	21819.1	47
2787	4230	0	0	0	0	23576.2	48
2787	4231	0	0	0	0	21861.6	49
2796	4237	0	0	0	0	23583.6	50
2796	4237	0	0	0	0	21936.8	51
2799	4241	0	0	0	0	22061.9	52
2799	4242	0	0	0	0	23951.2	53
2799	4242	0	0	0	0	22172.1	54
2801	4244	0	0	0	0	21777.3	55
2801	4245	0	0	0	0	23991.1	56
2805	4249	0	0	0	0	21621.3	57
2805	4250	0	0	0	0	22149.4	58
2806	4251	0	0	0	0	23892.9	59
2806	4251	0	0	0	0	22252.1	60
2811	4252	0	0	0	0	24102	61
2811	4254	0	0	0	0	22150	62
2813	4254	0	0	0	0	22210.8	63
2814	4255	0	0	0	0	23952.5	64
2814	4256	0	0	0	0	22194.1	65
2816	4258	0	0	0	0	23964	66
2817	4260	0	0	0	0	22265.4	67
2824	4263	0	0	0	0	21851.4	68
2829	4266	0	0	0	0	21715.6	69
2832	4269	0	0	0	0	21766	70
2833	4277	0	0	0	0	24138.6	71
2844	4292	0	0	0	0	24302.4	72
2847	4296	0	0	0	0	22185.4	73
2851	4301	0	0	0	0	22116.6	74
2854	4310	0	0	0	0	24151.9	75
1274	2764	0	0	0	0	12750.1	76
39	1252	0	0	0	0	4122.14	77
18	1139	0	0	0	0	3708.34	78
13	1131	0	0	0	0	3486.39	79
13	1131	0	0	0	0	3502.01	80
13	1131	0	0	0	0	3492.88	81
13	1132	0	0	0	0	3476.26	82
13	1132	0	0	0	0	3674.48	83
13	1132	0	0	0	0	3879.37	84
13	1132	0	0	0	0	3691.85	85
14	1133	0	0	0	0	3911.77	86
14	1133	0	0	0	0	3709.2	87
14	1133	0	0	0	0	3890.26	88
14	1133	0	0	0	0	3691.62	89
14	1133	0	0	0	0	3860.27	90
14	1134	0	0	0	0	3849.89	91
14	1136	0	0	0	0	3886.24	92
14	1136	0	0	0	0	3683.98	93
14	1136	0	0	0	0	3913.97	94
14	1136	0	0	0	0	3706.33	95
14	1136	0	0	0	0	3896.98	96
14	1136	0	0	0	0	3508.93	97
14	1136	0	0	0	0	3886.73	98
14	1136	0	0	0	0	3648.1	99
16	1136	0	0	0	0	3863.58	100
16	1136	0	0	0	0	3914.9	101
16	1136	0	0	0	0	3876	102
16	1136	0	0	0	0	3894.1	103
16	1136	0	0	0	0	3671.99	104
16	1136	0	0	0	0	3928.13	105
16	1136	0	0	0	0	3892.55	106
16	1136	0	0	0	0	3491.53	107
16	1136	0	0	0	0	3677.77	108
17	1136	0	0	0	0	3925.69	109
17	1136	0	0	0	0	3898.7	110
17	1136	0	0	0	0	3652.52	111
17	1136	0	0	0	0	3672.62	112
17	1136	0	0	0	0	3498.18	113
17	1136	0	0	0	0	3913.43	114
17	1136	0	0	0	0	3690.35	115
17	1136	0	0	0	0	3879.98	116
16	1135	0	0	0	0	3887.93	117
16	1135	0	0	0	0	3492.08	118
16	1135	0	0	0	0	3897.42	119
16	1135	0	0	0	0	3683.54	120
17	1135	0	0	0	0	3889.04	121
17	1135	0	0	0	0	3503.95	122
17	1136	0	0	0	0	3894.12	123
17	1136	0	0	0	0	3909.27	124
17	1136	0	0	0	0	3867.94	125
17	1136	0	0	0	0	3526.71	126
17	1137	0	0	0	0	3916.66	127
17	1137	0	0	0	0	3698.99	128
17	1137	0	0	0	0	3515.05	129
17	1137	0	0	0	0	3676.05	130
17	1137	0	0	0	0	3518.02	131
17	1137	0	0	0	0	3504.3	132
17	1137	0	0	0	0	3625.94	133
18	1137	0	0	0	0	3666.21	134
18	1137	0	0	0	0	3509.05	135
18	1137	0	0	0	0	3518.06	136
18	1137	0	0	0	0	3704.24	137
18	1137	0	0	0	0	3494.11	138
18	1137	0	0	0	0	3520.57	139
18	1137	0	0	0	0	3904.15	140
18	1137	0	0	0	0	3687.32	141
18	1137	0	0	0	0	3514.63	142
18	1137	0	0	0	0	3500.66	143
18	1137	0	0	0	0	3718.18	144
18	1137	0	0	0	0	3712.48	145
19	1137	0	0	0	0	3510.98	146
19	1137	0	0	0	0	3904.61	147
19	1137	0	0	0	0	3731.08	148
22	1137	0	0	0	0	3928.26	149
22	1137	0	0	0	0	3691.95	150
42	1137	0	0	0	0	3904.33	151
69	1137	0	0	0	0	4027.02	152
69	1137	0	0	0	0	3873.15	153
106	1137	0	0	0	0	3872.74	154
150	1136	0	0	0	0	4222.66	155
183	1136	0	0	0	0	3895.42	156
203	1136	0	0	0	0	4389.19	157
231	1136	0	0	0	0	4069.12	158
295	1136	0	0	0	0	4626.82	159
520	1136	0	0	0	0	4557.66	160
1004	1136	0	0	0	0	5002.55	161
1029	1136	0	0	0	0	5393.62	162
1086	1136	0	0	0	0	4972.91	163
1113	1136	0	0	0	0	5467.82	164
1128	1136	0	0	0	0	7505.67	165
1140	1136	0	0	0	0	6786.73	166
1154	1136	0	0	0	0	7482.86	167
1154	1136	0	0	0	0	7110.94	168
1171	1136	0	0	0	0	6957.55	169
1173	1136	0	0	0	0	6918.59	170
1175	1136	0	0	0	0	7332.87	171
1176	1136	0	0	0	0	7103.06	172
1181	1136	0	0	0	0	7504.38	173
1182	1136	0	0	0	0	7623.65	174
1182	1136	0	0	0	0	7058.26	175
1182	1136	0	0	0	0	7510.09	176
1182	1136	0	0	0	0	7224.54	177
1185	1136	0	0	0	0	7015.19	178
1185	1136	0	0	0	0	7066	179
1185	1136	0	0	0	0	7527.39	180
1185	1136	0	0	0	0	7143.02	181
1188	1136	0	0	0	0	7062.63	182
1188	1136	0	0	0	0	7580.03	183
1188	1136	0	0	0	0	7068.64	184
1190	1136	0	0	0	0	7681.38	185
1190	1136	0	0	0	0	7644.81	186
1190	1136	0	0	0	0	7023.35	187
