ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.595707	1	0.904287	27040.9
0.20266	1	0.526151	15733.5
0.595707	1	0.904287	27040.9
0.513417	1	0.855695	25587.9
0.519349	1	0.859616	25705.1
0.9922	1	0.99997	29902.1
0.999953	1	1	29903
0.729081	1	0.959449	28690.4
0.966849	1	0.999444	29886.4
0.953947	1	0.998923	29870.8
1.62607e-06	0.0133837	4.05727e-07	0.0121324
0.998354	0.535002	0.869086	25988.3
1	0.180285	0.489152	14627.1
0.994929	1	0.999987	29902.6
0.553601	0.850595	0.825532	24685.9
0.615097	1	0.914019	27331.9
0.316929	0.925325	0.653004	19526.8
0.460592	1	0.817663	24450.6
0.129119	0.925601	0.373397	11165.7
0.798722	0.925589	0.962603	28784.7
0.00762647	1	0.0448141	1340.08
0.163852	1	0.460226	13762.1
0.612754	1	0.912876	27297.7
0.999935	1	1	29903
0.999997	1	1	29903
0.665624	1	0.936553	28005.8
0.999904	1	1	29903
0.999983	1	1	29903
0.745088	0.0156419	0.0635413	1900.08
1.20832e-10	1.34932e-141	5.6771e-149	1.69762e-144
1	2.36707e-13	7.11826e-12	2.12857e-07
0.942209	5.43514e-10	1.14673e-08	0.000342906
0.895982	5.5514e-10	1.11524e-08	0.000333491
0.97604	3.44863e-10	7.67857e-09	0.000229612
0.331589	3.45405e-10	2.7362e-09	8.18207e-05
0.667363	5.54858e-10	8.41182e-09	0.000251539
0.757301	5.54951e-10	9.49384e-09	0.000283894
0.884737	3.44833e-10	6.98966e-09	0.000209012
0.726153	5.55256e-10	9.12506e-09	0.000272867
0.96146	5.55281e-10	1.19327e-08	0.000356823
0.496577	1	0.844189	25243.8
0.982513	0.859701	0.987258	29522
0.999984	0.922293	0.996898	29810.2
0.353548	1	0.721145	21564.4
0.999997	1	1	29903
1	0.121631	0.37788	11299.7
0.871429	1.22494e-10	2.55767e-09	7.64819e-05
0.439263	4.81431e-14	6.87024e-13	2.05441e-08
0.985283	2.82018e-13	8.31148e-12	2.48538e-07
0.999993	1.30012e-36	1.08729e-34	3.25134e-30
1	1.01254e-30	7.09439e-29	2.12143e-24
0.325379	1	0.690703	20654.1
0.862877	1	0.990137	29608.1
0.314212	0.22285	0.256207	7661.37
0.99987	1	1	29903
0.806397	1	0.979917	29302.4
0.999985	0.765978	0.970186	29011.5
0.948935	0.864738	0.982845	29390
0.987661	1	0.999924	29900.7
0.999999	0.516363	0.85765	25646.3
0.999973	0.287144	0.645424	19300.1
0.760571	1	0.968729	28967.9
0.96523	1	0.999388	29884.7
0.835327	1	0.985629	29473.3
1	1	1	29903
0.983357	1	0.999861	29898.8
1	0.00321244	0.0216542	647.525
0.983417	1.57517e-16	5.79402e-15	1.73259e-10
0.990707	5.15815e-21	2.43875e-19	7.29259e-15
0.67873	1.72746e-10	2.79832e-09	8.36783e-05
0.999996	1.46941e-11	3.81215e-10	1.13995e-05
0.865867	0.000170654	0.00145102	43.3899
0.999944	1	1	29903
0.999993	1	1	29903
1	0.0370584	0.159176	4759.83
0.189264	1	0.504316	15080.6
0.848928	1	0.987966	29543.2
0.365088	1	0.732957	21917.6
0.922663	1	0.996929	29811.2
0.875612	1	0.991922	29661.4
0.999411	0.16907	0.469405	14036.6
0.306338	0.106093	0.143863	4301.95
0.975425	7.94131e-05	0.000810691	24.2421
0.999815	0.0186456	0.0928812	2777.43
0.999969	9.69948e-06	0.000121661	3.63804
0.999994	0.00798314	0.0465449	1391.83
0.817573	1	0.982245	29372.1
0.421611	1	0.785744	23496.1
0.943202	1	0.998356	29853.8
0.481416	1	0.833342	24919.4
0.770819	0.209672	0.456171	13640.9
0.486552	2.84827e-05	0.000168886	5.05019
1	2.64002e-297	1.8055e-294	5.399e-290
0.36192	1	0.729751	21821.8
0.991406	0.219797	0.54993	16444.6
0.973186	0.219433	0.543246	16244.7
0.744144	1	0.964054	28828.1
0.737437	0.34856	0.606236	18128.3
0.0818223	0.000447012	0.000410236	12.2673
0.825737	0.0194567	0.0824359	2465.08
0.11382	1	0.361167	10800
0.99152	1	0.999964	29901.9
1	1	1	29903
0.916886	1	0.996446	29796.7
0.403558	0.844482	0.707654	21161
0.928672	1	0.997393	29825.1
0.983079	1	0.999856	29898.7
0.796998	1	0.977839	29240.3
0.767183	1	0.97051	29021.1
0.997441	1	0.999997	29902.9
0.972681	1	0.999623	29891.7
1	1	1	29903
1	1	1	29903
1	1	1	29903
1	1	1	29903
1	0.254055	0.602162	18006.5
0.376196	1	0.743982	22247.3
0.657657	1	0.933263	27907.4
0.0113928	1	0.062373	1865.14
0.0819166	1	0.286876	8578.46
0.677506	0.0303926	0.100545	3006.59
0.520882	3.31561e-30	1.20083e-28	3.59084e-24
0.821465	1	0.983019	29395.2
0.861407	1	0.989919	29601.5
0.999992	1	1	29903
0.0318104	0.932746	0.134041	4008.24
1	0.891677	0.993909	29720.9
1	1	1	29903
1	0.306177	0.668566	19992.1
0.408726	0.223968	0.310414	9282.3
1	4.77064e-08	8.51951e-07	0.0254759
0.769219	8.4556e-05	0.000692079	20.6952
0.999998	0.000244516	0.00227796	68.118
0.16416	2.83383e-18	2.01022e-17	6.01117e-13
0.306387	2.85051e-18	3.71893e-17	1.11207e-12
1	3.58433e-10	8.15409e-09	0.000243832
0.605012	1	0.909035	27182.9
0.833526	1	0.985303	29463.5
0.873654	0.0856215	0.268761	8036.76
0.151898	0.916401	0.41368	12370.3
0.999998	0.658283	0.933524	27915.2
0.369187	1	0.737064	22040.4
0.0203364	0.809957	0.0841059	2515.02
0.0224998	0.810031	0.0912176	2727.68
0.999999	0.822575	0.983237	29401.7
0.63976	1.1409e-07	1.27243e-06	0.0380495
0.00598018	1	0.0365946	1094.29
0.935531	0.0123038	0.0628993	1880.88
0.0419585	0.626331	0.121911	3645.51
0.999969	1.4403e-06	2.08127e-05	0.622362
0.904174	0.802139	0.958236	28654.1
0.694865	1	0.947822	28342.7
0.684548	1	0.943989	28228.1
0.723217	1	0.957573	28634.3
0.405087	1	0.771145	23059.6
0.160305	0.352249	0.21876	6541.57
0.870387	0.0943582	0.287406	8594.29
0.579971	1	0.895926	26790.9
0.999981	0.126236	0.38749	11587.1
1	0.626872	0.919629	27499.7
0.0353228	1	0.153415	4587.56
0.072933	1	0.263887	7891.02
0.973454	1	0.999644	29892.4
1	1	1	29903
0.968261	1	0.999491	29887.8
0.590672	1	0.901657	26962.3
0.999994	0.108224	0.348863	10432.1
0.952893	0.868464	0.984194	29430.4
0.159471	1	0.452243	13523.4
0.967292	0.936754	0.995448	29766.9
0.962601	0.915839	0.992695	29684.6
8.26163e-05	1	0.000859317	25.6962
0.999999	0.0777231	0.276274	8261.43
0.999747	0.714874	0.95476	28550.2
0.183117	1	0.493983	14771.6
0.942909	0.136173	0.391953	11720.6
0.844673	1	0.987259	29522
0.0812811	8.98827e-10	1.77821e-09	5.31737e-05
0.517023	0.72532	0.742818	22212.5
0.950854	1	0.998772	29866.3
0.724054	0.274185	0.519507	15534.8
0.928487	1	0.99738	29824.6
0.757109	1	0.967773	28939.3
0.800782	1	0.978689	29265.7
0.999999	0.174812	0.479691	14344.2
0.707344	1	0.952253	28475.2
0.973361	0.0171254	0.0849162	2539.25
1	0.381697	0.74932	22406.9
0.924516	0.155627	0.42283	12643.9
0.999979	1	1	29903
0.967704	1	0.999473	29887.2
0.996206	1	0.999993	29902.8
0.968192	1	0.999489	29887.7
0.877355	1	0.992151	29668.3
0.999979	1	1	29903
0.931432	1	0.997594	29831
0.963054	1	0.999309	29882.3
0.488911	0.0252182	0.0665268	1989.35
0.811766	4.65289e-68	5.90153e-66	1.76474e-61
0.998683	1	0.999999	29903
0.100092	1.76789e-68	2.81897e-67	8.42957e-63
0.344447	0.156972	0.211813	6333.86
0.150706	1.3172e-62	2.88589e-61	8.62968e-57
0.998181	0.0235373	0.111622	3337.83
1	0.929865	0.997481	29827.7
0.999991	0.384602	0.752103	22490.1
