ID or #		Start	End	Type	Contig
==================================================
MN908947.3:1..29903		1	29903	partial	SC2282:13-29855
id-MN908947.3:1..265		1	265	partial	SC2282:13-265
gene-orf1ab		266	21555	complete	SC2282:266-21555
cds-QHD43415.1		266	13468	complete	SC2282:266-13468
cds-QHD43415.1		13468	21555	complete	SC2282:13468-21555
gene-S		21563	25384	complete	SC2282:21563-25384
cds-QHD43416.1		21563	25384	complete	SC2282:21563-25384
gene-ORF3a		25393	26220	complete	SC2282:25393-26220
cds-QHD43417.1		25393	26220	complete	SC2282:25393-26220
gene-E		26245	26472	complete	SC2282:26245-26472
cds-QHD43418.1		26245	26472	complete	SC2282:26245-26472
gene-M		26523	27191	complete	SC2282:26523-27191
cds-QHD43419.1		26523	27191	complete	SC2282:26523-27191
gene-ORF6		27202	27387	complete	SC2282:27202-27387
cds-QHD43420.1		27202	27387	complete	SC2282:27202-27387
gene-ORF7a		27394	27759	complete	SC2282:27394-27759
cds-QHD43421.1		27394	27759	complete	SC2282:27394-27759
gene-ORF8		27894	28259	complete	SC2282:27894-28259
cds-QHD43422.1		27894	28259	complete	SC2282:27894-28259
gene-N		28274	29533	complete	SC2282:28274-29533
cds-QHD43423.2		28274	29533	complete	SC2282:28274-29533
gene-ORF10		29558	29674	complete	SC2282:29558-29674
cds-QHI42199.1		29558	29674	complete	SC2282:29558-29674
id-MN908947.3:29675..29903		29675	29903	partial	SC2282:29675-29855
