Assembly	SC2244.consensus
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29891
Total length (>= 1000 bp)	29891
Total length (>= 5000 bp)	29891
Total length (>= 10000 bp)	29891
Total length (>= 25000 bp)	29891
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	29891
Total length	29891
Reference length	29903
GC (%)	37.91
Reference GC (%)	37.97
N50	29891
NG50	29891
N75	29891
NG75	29891
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	22
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	62.890
Duplication ratio	1.589
# N's per 100 kbp	37302.20
# mismatches per 100 kbp	116.98
# indels per 100 kbp	21.27
# genomic features	10 + 10 part
Largest alignment	18794
Total aligned length	18794
NA50	18794
NGA50	18794
LA50	1
LGA50	1
