ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.870178	0.649869	0.887862	26549.7
0.886494	0.844965	0.965489	28871
0.231172	1	0.569745	17037.1
0.576204	1	0.893861	26729.1
0.988761	1	0.999937	29901.1
0.782194	1	0.974342	29135.7
0.824592	1	0.983628	29413.4
1	1.84979e-21	9.01574e-20	2.69598e-15
0.99099	1	0.999959	29901.8
0.752839	1	0.966573	28903.4
0.984414	3.4858e-07	5.45092e-06	0.162999
0.248007	1	0.593803	17756.5
0.937355	0.687394	0.927543	27736.3
0.574181	1	0.892743	26695.7
0.779342	1	0.973636	29114.6
0.776136	1	0.97283	29090.5
1	1	1	29903
0.981494	1	0.999828	29897.8
0.938201	1	0.99805	29844.7
0.783675	1	0.974704	29146.6
0.0050063	6.76127e-39	3.18812e-39	9.53343e-35
0.54544	1.61072e-36	7.3818e-35	2.20738e-30
0.999975	1	1	29903
0.545449	8.28369e-93	9.6526e-91	2.88642e-86
0.121207	1.85627e-80	4.20057e-79	1.2561e-74
0.463886	1	0.820205	24526.6
1	0.0113235	0.0620628	1855.86
0.884477	0.705588	0.918318	27460.5
0.404215	0.59868	0.585348	17503.7
1	0.618358	0.915595	27379
0.662491	1	0.935271	27967.4
0.0112541	1	0.0617513	1846.55
1	0.04232	0.176157	5267.62
0.981802	0.0766189	0.269851	8069.37
0.419593	0.0766189	0.142656	4265.85
1	5.82749e-11	1.43157e-09	4.28083e-05
0.000516241	0.0104527	7.085e-05	2.11863
0.265467	0.567325	0.435717	13029.2
0.937498	1	0.998005	29843.3
0.721106	0.00930603	0.040291	1204.82
0.830328	0.0100546	0.0483024	1444.39
0.81729	0.862454	0.951394	28449.5
0.988977	0.920364	0.995843	29778.7
0.190018	1.79961e-25	2.03937e-24	6.09832e-20
0.746765	1	0.964824	28851.1
0.585804	1	0.899075	26885
0.896216	1	0.994418	29736.1
0.686062	1	0.944561	28245.2
0.991687	4.9188e-09	9.8234e-08	0.00293749
0.979466	4.75122e-09	9.39369e-08	0.00280899
0.730748	4.75122e-09	7.11003e-08	0.00212611
0.667632	0.589061	0.760299	22735.2
0.272988	0.588905	0.454611	13594.2
0.976608	1	0.999724	29894.8
0.611653	1	0.912336	27281.6
0.365247	1	0.733117	21922.4
0.924921	3.54166e-07	5.21879e-06	0.156057
0.744193	1	0.964069	28828.5
0.64118	1	0.926149	27694.6
0.952467	1	0.998852	29868.7
1	8.22295e-07	1.23436e-05	0.369111
0.381623	0.216213	0.288364	8622.95
0.75644	0.216213	0.459684	13745.9
0.381623	0.216213	0.288364	8622.95
0.126115	0.216213	0.125487	3752.45
0.240293	0.216213	0.205604	6148.18
0.879712	0.473083	0.781016	23354.7
0.438234	4.15732e-67	2.81796e-65	8.42654e-61
0.67601	0.0292325	0.0973059	2909.74
0.771471	5.84748e-18	1.84687e-16	5.52269e-12
0.684724	3.44251e-17	9.26049e-16	2.76916e-11
0.744647	0.0292325	0.105081	3142.23
0.852928	0.0285245	0.114739	3431.03
0.761239	0.0292325	0.106932	3197.58
0.743928	0.0293637	0.105374	3150.99
0.73203	0.0292325	0.103666	3099.92
1	1	1	29903
0.18732	1	0.501069	14983.5
0.309429	1	0.672398	20106.7
0.937339	1	0.997994	29843
1.2769e-21	0.625147	3.95769e-20	1.18347e-15
0.000280721	0.899434	0.00234415	70.0971
0.0479327	1	0.19355	5787.73
0.0316699	0.856692	0.124996	3737.76
0.544937	1	0.87576	26187.9
0.989301	1	0.999943	29901.3
0.999695	0.521743	0.861075	25748.7
0.999999	4.51489e-146	1.51551e-143	4.53184e-139
0.914008	2.44595e-61	3.14447e-59	9.40291e-55
1	1	1	29903
0.0551971	1	0.215095	6431.97
0.676455	1	0.940874	28135
0.600283	1	0.90664	27111.3
0.376507	1	0.744286	22256.4
0.978913	1	0.999776	29896.3
0.994697	1	0.999986	29902.6
0.994243	1	0.999983	29902.5
0.00881019	0.894641	0.0460557	1377.2
0.326393	0.241143	0.278783	8336.46
9.33348e-31	6.17983e-54	1.11128e-81	3.32305e-77
0.758373	1	0.968124	28949.8
0.827756	1	0.984232	29431.5
0.580832	1	0.896394	26804.9
0.56064	1	0.885069	26466.2
0.711543	1	0.953695	28518.3
0.986602	1	0.99991	29900.3
0.709892	1	0.953131	28501.5
0.610901	1	0.911965	27270.5
0.558035	0.101587	0.219397	6560.63
0.651439	0.101587	0.245878	7352.49
0.850712	1	0.988256	29551.8
0.916813	0.761354	0.948963	28376.9
0.933243	1	0.99772	29834.8
0.877883	1	0.99222	29670.4
0.55722	1	0.88308	26406.7
0.957475	1	0.999083	29875.6
0.965486	1	0.999397	29885
0.720821	1	0.956792	28611
0.642162	1	0.926585	27707.7
0.624112	1	0.918334	27461
0.735967	1	0.961592	28754.5
0.883522	1	0.992937	29691.8
0.973769	0	0	0
0.999695	0.00573356	0.0353178	1056.11
0.813822	1	0.98148	29349.2
0.659028	0.170864	0.358517	10720.7
0.111427	1	0.355942	10643.7
0.261213	0.108832	0.129643	3876.73
0.995481	0.173995	0.476889	14260.4
0.927232	1	0.997286	29821.8
0.87721	0.638433	0.884722	26455.8
1	0.108833	0.350219	10472.6
0.248228	1.19647e-37	2.59605e-36	7.76298e-32
0.675142	0.906454	0.912499	27286.5
0.00144045	0.871809	0.00964452	288.4
0.953794	0.969434	0.997086	29815.9
1	1	1	29903
0.97868	1.10857e-69	1.73369e-67	5.18425e-63
0.994016	9.74289e-15	3.22189e-13	9.63442e-09
8.31227e-06	1	0.000105547	3.15618
0.859944	1	0.989699	29595
0.000672246	0.967971	0.00542529	162.233
0.783092	0.967864	0.968	28946.1
0.00671713	3.65802e-05	3.98526e-06	0.119171
0.983237	3.46892e-18	1.40591e-16	4.20408e-12
0.368365	0.0713634	0.12194	3646.37
0.512268	0.332334	0.471665	14104.2
0.963722	3.42853e-07	5.26117e-06	0.157325
0.994509	0.490192	0.837752	25051.3
0.991945	1	0.999967	29902
0.00049105	0.483466	0.00221873	66.3468
0.736828	6.12601e-05	0.000496781	14.8552
0.715681	6.12601e-05	0.0004838	14.4671
0.852412	6.12601e-05	0.000567101	16.958
0.951943	6.12601e-05	0.000626877	18.7455
0.00287129	9.70488e-63	4.16989e-63	1.24692e-58
0.148654	6.3287e-08	1.83281e-07	0.00548066
0.103218	0.000796919	0.00085593	25.5949
1	0.157252	0.448153	13401.1
1.33714e-17	2.89278e-172	1.68197e-186	5.02959e-182
0.99986	0.143304	0.421675	12609.3
0.595816	0.468279	0.635166	18993.4
0.967222	0.478317	0.819245	24497.9
0.999996	0.390847	0.758023	22667.2
0.661723	0.0518441	0.150002	4485.52
0.918671	0.814509	0.965261	28864.2
0.183937	0.100561	0.0923026	2760.12
0.963975	5.17488e-189	2.16789e-186	6.48264e-182
0.992565	0.181274	0.488537	14608.7
0.805984	5.44207e-162	1.63404e-159	4.88628e-155
0.780969	4.63482e-16	1.32316e-14	3.95665e-10
0.933194	4.82135e-17	1.73851e-15	5.19868e-11
0.895561	0.299279	0.620924	18567.5
6.0138e-37	0	0	0
0.999788	1.23612e-43	1.23338e-41	3.68818e-37
0.183113	2.25499e-11	1.12367e-10	3.36011e-06
0.0416595	1.29086e-120	1.507e-119	4.50638e-115
0.806271	0.966308	0.973577	29112.9
1	0.816945	0.982118	29368.3
0.418243	1	0.782822	23408.7
0.15159	0.147866	0.107548	3216
0.198457	0.0937917	0.0927678	2774.04
0.171288	0.152747	0.121489	3632.87
0.370472	0.152778	0.219141	6552.96
0.332202	0.152696	0.201956	6039.08
0.76539	0.151988	0.366594	10962.2
0.494509	0.376693	0.499322	14931.2
0.961813	0.388495	0.741494	22172.9
0.909654	0.936938	0.98851	29559.4
0.798429	0.752988	0.907111	27125.3
0.124593	0.96358	0.374549	11200.1
0.956772	1.24663e-07	2.02072e-06	0.0604256
0.0920558	1.27394e-07	2.25884e-07	0.00675462
0.411076	1	0.776513	23220.1
0.309651	0.368849	0.362023	10825.6
0.309651	0.368849	0.362023	10825.6
0.95813	0.368849	0.720996	21560
0.633892	0.368849	0.573594	17152.2
0.847158	0.369055	0.676157	20219.1
0.999969	1	1	29903
1.83855e-73	0.229613	7.17458e-72	2.14541e-67
1	0.94311	0.99835	29853.7
0.00510175	1	0.0320297	957.783
1	1	1	29903
0.83385	0.323376	0.623057	18631.3
0.715645	0.0135976	0.0548095	1638.97
0.931663	0.322838	0.662126	19799.5
0.278516	0.0231921	0.0390289	1167.08
0.747783	0.00101335	0.00620244	185.471
0.015711	3.55291e-21	2.91601e-21	8.71975e-17
0.327346	5.61439e-12	5.1501e-11	1.54003e-06
0.741217	0.106907	0.280138	8376.98
0.207822	1.75329e-08	7.44421e-08	0.00222604
0.22399	0.105716	0.112314	3358.54
0.990688	1.62684e-07	2.68198e-06	0.0801992
0.392369	0.244076	0.320422	9581.58
0.98224	0.419669	0.777525	23250.3
0.971057	0.419595	0.773274	23123.2
0.963418	0.419595	0.770384	23036.8
1	0.258744	0.608544	18197.3
0.770726	1	0.97144	29049
0.882601	1	0.992822	29688.4
0.988441	1	0.999933	29901
0.106318	1	0.344611	10304.9
0.817628	1	0.982256	29372.4
0.651141	8.76832e-17	2.19252e-15	6.55629e-11
0.845696	0.141404	0.37355	11170.3
0.985662	1	0.999897	29899.9
0.975815	6.17935e-100	1.38363e-97	4.13748e-93
0.993648	1	0.99998	29902.4
0.756559	1	0.96762	28934.7
1	0.00109469	0.00855751	255.895
0.988669	1	0.999936	29901.1
0.985053	1	0.999888	29899.6
0.929084	1	0.997424	29826
0.962415	1	0.999285	29881.6
0.994951	1	0.999987	29902.6
0.894829	1	0.994265	29731.5
0.998312	8.17129e-13	2.35219e-11	7.03375e-07
0.999812	6.41181e-12	1.71632e-10	5.1323e-06
0.98889	0.181193	0.487256	14570.4
0.999995	1	1	29903
0.370433	0.936813	0.714303	21359.8
0.114969	1	0.363658	10874.5
1	1	1	29903
0.319352	0.601827	0.509171	15225.7
0.432552	1	0.795053	23774.5
0.630838	1	0.921469	27554.7
0.905948	0.224636	0.527504	15774
0.892852	1	0.994043	29724.9
0.969039	1	0.999516	29888.5
0.300233	1	0.661473	19780
0.953374	1	0.998896	29870
0.928765	1	0.9974	29825.3
0.155685	0.973644	0.43756	13084.4
0.996179	4.03678e-19	1.74356e-17	5.21377e-13
3.43331e-07	6.38069e-46	2.62774e-50	7.85772e-46
0.0429738	0.645126	0.127125	3801.43
0.999995	1	1	29903
0.0707162	1	0.258049	7716.44
0.999996	0.748451	0.965314	28865.8
1	1	1	29903
0.996457	1	0.999994	29902.8
1	0.000481066	0.00415617	124.282
1	0.000137677	0.00136171	40.7191
0.992614	0.266838	0.616751	18442.7
1	6.96216e-05	0.00073607	22.0107
1	0.000240708	0.00224627	67.1702
0.988157	6.77898e-05	0.000710799	21.255
0.847778	2.88306e-09	5.09114e-08	0.00152241
0.899465	1.01547e-73	1.54524e-71	4.62074e-67
0.963943	7.17615e-06	8.91063e-05	2.66455
0.998832	0.00133132	0.0101365	303.111
0.850744	2.80864e-05	0.000278175	8.31826
3.07743e-05	7.90159e-17	1.17852e-19	3.52413e-15
4.58959e-09	2.84448e-15	7.0096e-22	2.09608e-17
1.11777e-05	1.35407e-15	7.05873e-19	2.11077e-14
