ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.999591	1	1	29903
0.185934	0.809786	0.435643	13027
0.131084	0.809692	0.344207	10292.8
0.997899	0.872142	0.991201	29639.9
0.975207	0.809811	0.976158	29190
0.999999	0.0351266	0.152758	4567.94
1	1	1	29903
0.820979	1	0.982924	29392.4
0.665833	1	0.936638	28008.3
0.994317	1	0.999984	29902.5
0.721755	1	0.957097	28620.1
0.00122876	1	0.00946358	282.989
0.523235	1	0.862147	25780.8
0.494404	0.396783	0.515689	15420.6
0.248135	0.45318	0.358181	10710.7
0.102123	0.46137	0.191064	5713.38
0.338686	0.47527	0.454983	13605.3
0.0623636	0.430949	0.124072	3710.12
0.660978	0.45454	0.661722	19787.5
0.00194963	0.409771	0.00649689	194.277
0.110975	0.44258	0.197129	5894.74
0.248786	0.538693	0.403368	12061.9
0.762994	0.612419	0.822793	24604
0.999929	0.518896	0.859295	25695.5
0.999963	0.450963	0.810083	24223.9
0.911465	0.504181	0.816848	24426.2
0.688377	0.786537	0.873622	26123.9
0.890859	0.0010373	0.00738041	220.696
0.666068	0.132331	0.30222	9037.29
0.993008	0.0141933	0.074163	2217.7
0.971783	0.0786404	0.272939	8161.68
0.98614	0.10369	0.335421	10030.1
0.813319	0.103605	0.292716	8753.07
0.920418	0.103714	0.3197	9560
0.944548	0.103811	0.32576	9741.2
0.782203	0.416456	0.691123	20666.7
0.366571	0.180663	0.246008	7356.37
0.668063	0.133208	0.30428	9098.89
0.738741	0.000664192	0.00422942	126.472
0.999934	2.54922e-39	2.29071e-37	6.84991e-33
0.585909	5.20734e-10	6.99002e-09	0.000209023
1	8.40275e-11	2.03345e-09	6.08064e-05
0.999993	6.34799e-35	5.062e-33	1.51369e-28
0.615725	1	0.914324	27341
0.999996	1	1	29903
0.922502	1	0.996916	29810.8
0.999947	1	1	29903
6.5449e-05	0.795918	0.000565849	16.9206
0.156473	1	0.44671	13358
0.97177	1	0.999598	29891
0.000613813	1.47865e-09	2.60738e-11	7.79685e-07
0.966646	3.93804e-07	6.00747e-06	0.179641
0.641182	1	0.92615	27694.7
0.674597	0.298732	0.524334	15679.2
0.711707	0.0071901	0.0321114	960.227
0.656734	0.00527502	0.0230903	690.47
0.99998	7.81829e-34	6.03805e-32	1.80556e-27
0.999929	3.45389e-27	2.13886e-25	6.39582e-21
0.72085	1	0.956802	28611.2
0.704769	1	0.951357	28448.4
0.350004	0.505901	0.483611	14461.4
0.146352	1	0.427602	12786.6
0.945518	1	0.998488	29857.8
0.996965	5.01814e-10	1.12144e-08	0.000335345
0.668445	0.410084	0.628881	18805.4
0.998624	1	0.999999	29903
0.889394	1.76983e-06	2.26067e-05	0.676007
0.72286	1.36977e-10	2.3799e-09	7.1166e-05
0.0385424	0.767746	0.133759	3999.79
0.0147041	0.537225	0.0461404	1379.74
0.613849	0.533293	0.692923	20720.5
0.0770965	0.334114	0.12001	3588.67
0.0619796	0.337812	0.101886	3046.71
0.835641	0.0560917	0.190318	5691.07
0.999992	1.33795e-15	4.71591e-14	1.4102e-09
0.712895	0.0317086	0.108268	3237.54
0.752931	1	0.966599	28904.2
0.572089	0.363354	0.534402	15980.2
0.512984	1	0.855406	25579.2
0.999996	0.452683	0.811461	24265.1
0.206492	0.000234404	0.000529329	15.8285
0.872129	1	0.991452	29647.4
0.950352	0.000237768	0.00212296	63.4828
0.276711	0.00517509	0.0108097	323.244
0.215367	0.303969	0.243937	7294.46
0.999999	1	1	29903
0.219864	0.304004	0.247672	7406.12
0.961911	0.10472	0.331941	9926.02
0.981453	0.510082	0.847004	25328
0.991767	2.25685e-06	3.13577e-05	0.937689
0.281846	1.50435e-07	7.6218e-07	0.0227915
0.309565	1	0.672557	20111.5
0.715199	1	0.95493	28555.3
0.913571	1	0.996153	29787.9
0.905931	1	0.99543	29766.3
0.999997	0.00129024	0.00987407	295.264
0.811111	0.692477	0.885667	26484.1
0.999997	9.18714e-13	2.63815e-11	7.88887e-07
0.788093	0.101266	0.28157	8419.79
0.430606	1	0.793418	23725.6
0.291516	1	0.650856	19462.5
0.98113	1	0.999821	29897.6
0.999994	8.31079e-16	2.96891e-14	8.87793e-10
0.384987	1	0.752475	22501.3
0.999994	0.391584	0.758713	22687.8
0.812999	0.057324	0.189496	5666.5
0.914779	4.0037e-16	1.33839e-14	4.0022e-10
0.999984	7.22748e-14	2.25915e-12	6.75554e-08
0.982822	1	0.999852	29898.6
0.991719	1	0.999966	29902
0.653643	1	0.931568	27856.7
0.944419	0.864043	0.98193	29362.7
0.0421795	1	0.175712	5254.33
0.593506	4.46539e-13	7.93983e-12	2.37425e-07
0.331061	3.54922e-16	4.42745e-15	1.32394e-10
1	3.34349e-16	1.22486e-14	3.66271e-10
0.836117	1.43421e-16	4.51603e-15	1.35043e-10
