ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.724733	1	0.958062	28648.9
0.965766	1	0.999407	29885.3
0.998303	1	0.999999	29903
0.81898	1	0.982527	29380.5
0.979385	1	0.999786	29896.6
0.654405	1	0.931892	27866.4
0.979385	1	0.999786	29896.6
0.999442	1	1	29903
0.644679	1	0.927695	27740.9
1	1	1	29903
0.999992	1	1	29903
0.964776	1	0.999372	29884.2
0.591112	1	0.901889	26969.2
0.784899	1	0.975002	29155.5
0.816996	0.0827939	0.249838	7470.91
0.591022	1	0.901842	26967.8
1.32524e-07	1	2.23124e-06	0.0667208
0.999988	1	1	29903
0.908568	0.0297503	0.124631	3726.84
0.508763	0.875992	0.805852	24097.4
0.141469	0.875987	0.38269	11443.6
1	0.000412097	0.00362409	108.371
1	0.382018	0.749629	22416.2
0.721884	0.930604	0.939034	28079.9
0.999954	1	1	29903
0.999992	0.812511	0.981208	29341.1
0.983291	1	0.99986	29898.8
0.999935	0.206031	0.531483	15892.9
0.671739	0.00299632	0.0145084	433.844
0.997424	0.254775	0.602249	18009.1
0.999987	1	1	29903
0.595662	0.00193031	0.0089319	267.091
0.474227	1.15533e-08	1.09701e-07	0.00328038
0.99806	5.78249e-07	8.86768e-06	0.26517
0.99039	4.82698e-07	7.43551e-06	0.222344
0.960708	4.93687e-07	7.38063e-06	0.220703
0.97607	4.94756e-07	7.50618e-06	0.224457
0.73275	5.01172e-07	5.80863e-06	0.173696
0.908551	4.94415e-07	7.01463e-06	0.209758
0.633404	4.99238e-07	5.04902e-06	0.150981
0.0520214	2.14321e-13	3.69347e-13	1.10446e-08
0.0777178	4.95988e-07	6.96599e-07	0.0208304
0.999849	2.79125e-07	4.49093e-06	0.134292
1	3.72503e-16	1.36062e-14	4.06865e-10
0.438422	0.00184152	0.0065572	196.08
0.944424	0.137653	0.395234	11818.7
0.661061	0.581825	0.752126	22490.8
0.999999	1.76403e-16	6.5752e-15	1.96618e-10
0.788771	0.00115468	0.00728732	217.913
1	0.664581	0.936128	27993
1	1	1	29903
0.737255	0.71563	0.864957	25864.8
0.999899	0.762311	0.969182	28981.4
0.581437	1	0.896723	26814.7
0.990497	0.163984	0.45764	13684.8
0.945502	2.62984e-06	3.45741e-05	1.03387
