ID or #		Start	End	Type	Contig
==================================================
MN908947.3:1..29903		1	29903	partial	SC2215:3-22896,SC2215:23117-29826
id-MN908947.3:1..265		1	265	partial	SC2215:3-265
gene-orf1ab		266	21555	complete	SC2215:266-21555
cds-QHD43415.1		266	13468	complete	SC2215:266-13468
cds-QHD43415.1		13468	21555	complete	SC2215:13468-21555
gene-S		21563	25384	partial	SC2215:21563-22896,SC2215:23117-25375
cds-QHD43416.1		21563	25384	partial	SC2215:21563-22896,SC2215:23117-25375
gene-ORF3a		25393	26220	complete	SC2215:25384-26211
cds-QHD43417.1		25393	26220	complete	SC2215:25384-26211
gene-E		26245	26472	complete	SC2215:26236-26463
cds-QHD43418.1		26245	26472	complete	SC2215:26236-26463
gene-M		26523	27191	complete	SC2215:26514-27182
cds-QHD43419.1		26523	27191	complete	SC2215:26514-27182
gene-ORF6		27202	27387	complete	SC2215:27193-27378
cds-QHD43420.1		27202	27387	complete	SC2215:27193-27378
gene-ORF7a		27394	27759	complete	SC2215:27385-27750
cds-QHD43421.1		27394	27759	complete	SC2215:27385-27750
gene-ORF8		27894	28259	complete	SC2215:27885-28250
cds-QHD43422.1		27894	28259	complete	SC2215:27885-28250
gene-N		28274	29533	complete	SC2215:28265-29524
cds-QHD43423.2		28274	29533	complete	SC2215:28265-29524
gene-ORF10		29558	29674	complete	SC2215:29549-29665
cds-QHI42199.1		29558	29674	complete	SC2215:29549-29665
id-MN908947.3:29675..29903		29675	29903	partial	SC2215:29666-29826
