ID or #		Start	End	Type	Contig
==================================================
MN908947.3:1..29903		1	29903	partial	SC2250:31-9245,SC2250:9503-11048,SC2250:11155-11806,SC2250:12134-12465,SC2250:12733-14271,SC2250:14571-16370,SC2250:16577-17130,SC2250:17459-17694,SC2250:17994-20423,SC2250:20638-27391,SC2250:28105-29828
id-MN908947.3:1..265		1	265	partial	SC2250:31-265
gene-orf1ab		266	21555	partial	SC2250:266-9245,SC2250:9503-11048,SC2250:11155-11806,SC2250:12134-12465,SC2250:12733-14271,SC2250:14571-16370,SC2250:16577-17130,SC2250:17459-17694,SC2250:17994-20423,SC2250:20638-21555
cds-QHD43415.1		266	13468	partial	SC2250:266-9245,SC2250:9503-11048,SC2250:11155-11806,SC2250:12134-12465,SC2250:12733-13468
cds-QHD43415.1		13468	21555	partial	SC2250:13468-14271,SC2250:14571-16370,SC2250:16577-17130,SC2250:17459-17694,SC2250:17994-20423,SC2250:20638-21555
gene-S		21563	25384	complete	SC2250:21563-25384
cds-QHD43416.1		21563	25384	complete	SC2250:21563-25384
gene-ORF3a		25393	26220	complete	SC2250:25393-26220
cds-QHD43417.1		25393	26220	complete	SC2250:25393-26220
gene-E		26245	26472	complete	SC2250:26245-26472
cds-QHD43418.1		26245	26472	complete	SC2250:26245-26472
gene-M		26523	27191	complete	SC2250:26523-27191
cds-QHD43419.1		26523	27191	complete	SC2250:26523-27191
gene-ORF6		27202	27387	complete	SC2250:27202-27387
cds-QHD43420.1		27202	27387	complete	SC2250:27202-27387
gene-ORF8		27894	28259	partial	SC2250:28105-28259
cds-QHD43422.1		27894	28259	partial	SC2250:28105-28259
gene-N		28274	29533	complete	SC2250:28274-29533
cds-QHD43423.2		28274	29533	complete	SC2250:28274-29533
gene-ORF10		29558	29674	complete	SC2250:29558-29674
cds-QHI42199.1		29558	29674	complete	SC2250:29558-29674
id-MN908947.3:29675..29903		29675	29903	partial	SC2250:29675-29828
