Assembly	SC2285.consensus
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29904
Total length (>= 1000 bp)	29904
Total length (>= 5000 bp)	29904
Total length (>= 10000 bp)	29904
Total length (>= 25000 bp)	29904
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	29904
Total length	29904
Reference length	29903
GC (%)	38.01
Reference GC (%)	37.97
N50	29904
NG50	29904
N75	29904
NG75	29904
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	9
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	88.045
Duplication ratio	1.136
# N's per 100 kbp	12225.79
# mismatches per 100 kbp	98.75
# indels per 100 kbp	11.39
# genomic features	14 + 8 part
Largest alignment	26329
Total aligned length	26329
NA50	26329
NGA50	26329
NA75	26329
NGA75	26329
LA50	1
LGA50	1
LA75	1
LGA75	1
